UBIGEO,DISTRITO,PROVINCIA,DEPARTAMEN,tmin_mean_total,riesgo,ranking
210502,CAPAZO,EL COLLAO,PUNO,-5.191071134000211,Alto Riesgo Heladas,1
230406,SUSAPAYA,TARATA,TACNA,-5.157803344726562,Alto Riesgo Heladas,2
230401,TARATA,TARATA,TACNA,-4.995735876900809,Alto Riesgo Heladas,3
210504,SANTA ROSA,EL COLLAO,PUNO,-4.86188007701527,Alto Riesgo Heladas,4
230408,TICACO,TARATA,TACNA,-4.41739467274059,Alto Riesgo Heladas,5
040514,SAN ANTONIO DE CHUCA,CAYLLOMA,AREQUIPA,-4.390305680495042,Alto Riesgo Heladas,6
230201,CANDARAVE,CANDARAVE,TACNA,-4.359306534476902,Alto Riesgo Heladas,7
080802,CONDOROMA,ESPINAR,CUSCO,-4.1229465060763895,Alto Riesgo Heladas,8
210707,PARATIA,LAMPA,PUNO,-4.094574913611779,Alto Riesgo Heladas,9
180102,CARUMAS,MARISCAL NIETO,MOQUEGUA,-3.411974711357793,Alto Riesgo Heladas,10
040119,SAN JUAN DE TARUCANI,AREQUIPA,AREQUIPA,-3.343182144165039,Alto Riesgo Heladas,11
040518,TUTI,CAYLLOMA,AREQUIPA,-3.25811903817313,Alto Riesgo Heladas,12
210405,PISACOMA,CHUCUITO,PUNO,-3.2487246889056585,Alto Riesgo Heladas,13
210302,AJOYANI,CARABAYA,PUNO,-3.141027245154748,Alto Riesgo Heladas,14
210709,SANTA LUCIA,LAMPA,PUNO,-3.0639498675311048,Alto Riesgo Heladas,15
